Num_Col_0,Num_Col_1,Num_Col_2,Num_Col_3,Num_Col_4,Num_Col_5,Num_Col_6,Num_Col_7,Num_Col_8,Num_Col_9,Num_Col_10,Num_Col_11,Num_Col_12,Num_Col_13,Num_Col_14,Num_Col_15,Num_Col_16,Num_Col_17,Num_Col_18,Num_Col_19,Num_Col_20,Num_Col_21,Num_Col_22,Num_Col_23,Num_Col_24,Num_Col_25,Num_Col_26,Num_Col_27,Num_Col_28,Num_Col_29,Num_Col_30,Num_Col_31,Num_Col_32,Num_Col_33,Num_Col_34,Num_Col_35,Num_Col_36,Num_Col_37,Num_Col_38,Num_Col_39,Num_Col_40,Num_Col_41,Num_Col_42,Num_Col_43,Num_Col_44,Num_Col_45,Num_Col_46,Num_Col_47,Num_Col_48,Num_Col_49,Num_Col_50,Num_Col_51,Num_Col_52,Num_Col_53,Num_Col_54,Num_Col_55,Num_Col_56,Num_Col_57,Num_Col_58,Num_Col_59,Num_Col_60,Num_Col_61,Num_Col_62,Num_Col_63,Num_Col_64,Num_Col_65,Num_Col_66,Num_Col_67,Num_Col_68,Num_Col_69,Num_Col_70,Num_Col_71,Num_Col_72,Num_Col_73,Num_Col_74,Num_Col_75,Num_Col_76,Num_Col_77,Num_Col_78,Num_Col_79,Num_Col_80,Num_Col_81,Num_Col_82,Num_Col_83,Num_Col_84,Num_Col_85,Num_Col_86,Num_Col_87,Num_Col_88,Num_Col_89,Num_Col_90,Num_Col_91,Num_Col_92,Num_Col_93,Num_Col_94,Num_Col_95,Num_Col_96,Num_Col_97,Num_Col_98,Num_Col_99,Cat_Col_100,Cat_Col_101,Cat_Col_102,Cat_Col_103,Cat_Col_104,Cat_Col_105,Cat_Col_106,Cat_Col_107,Cat_Col_108,Cat_Col_109,Cat_Col_110,Cat_Col_111,Cat_Col_112,Cat_Col_113,Cat_Col_114,Cat_Col_115,Cat_Col_116,Cat_Col_117,Cat_Col_118,Cat_Col_119,Cat_Col_120,Cat_Col_121,Cat_Col_122,Cat_Col_123,Cat_Col_124,Cat_Col_125,Cat_Col_126,Cat_Col_127,Label
0.025520904,1,0.438425481,0.117954604,0.614838243,0.419087857,0.100473925,0.054481793,0.923200905,0.420384258,0.744276702,0.463608116,,0.773757696,0.115409918,0.82468766,0.466393113,,0.143617183,0.798527896,0.495347708,0.601057708,3806.582764,0.75660032,0.373262197,0.527748466,,2810.713135,0.39826113,0.701014936,0.509190619,0.720682681,0.880887628,5636.915527,0.840430021,0.446220011,0.839108944,0.550313413,0.403431922,0.436180055,0.064134397,0.670231342,0.723417282,0.878617823,0.634070158,0.504310608,0.567856252,0.531623423,0.464215666,0.694392323,0.460781723,0.716095626,,0.583562255,0.68793124,0.582012653,4233.59082,0.814537168,0.763931036,0.149308488,0.177817613,0.212904751,0.499510497,0.473660648,0.30278495,0.593511522,1,0.675380111,0.026003342,0.481963903,0.121345818,0.720461607,0.893810332,0.431001574,0.562996209,0.143819556,0.186862499,0.450069159,0.604062378,0.753733754,0.72291106,,0.305114239,0.465949357,0.464458734,0.577476382,0.310750127,0.469277442,0.433843434,0.932328165,0.33979845,0.162963778,0.139861256,0.715570271,0.859795332,0.010216593,0.944285691,0.486960679,0.396823913,0.844687581,4,,0,1,4,2,4,2,4,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,,1,1,1,4
0.350036621,0.425853342,,0.458509296,0.777204335,0.674766004,0.445087254,0.42613712,0.336814314,,0.444658071,,,,0.412050307,0.582889915,,0.880819023,0.295519114,0.639381409,0.460088789,0.334034026,6361.715332,0.812045395,0.162159771,0.843338549,0.250672042,,0.138271824,0.317761153,0.445307195,0.272305667,0.151040286,7754.002441,0.803064883,0.711267412,0.492855281,0.327441782,0.491037697,0.183768138,0.309628099,0.449832648,0.38232246,0.604985654,0.515700758,0.152649909,,0.328812808,,0.466838092,0.371507436,0.811465204,0.720725536,,0.47941646,0.171044156,8021.78125,0.519751966,0.839419723,0.798054397,0.439523101,0.208390519,0.534616709,0.464708865,,0.277423561,,0.781758368,0.277182609,,0.600769281,0.580722153,0.585297406,,0.625984371,0.328913569,0.512400508,0.180990025,0.438908547,0.8600775,0.82347554,0.669129133,0.421610028,0.429983169,0.164907247,,,0.329202324,,0.207170591,0.901234329,0.788280606,0.370076209,,0.246587291,0.437934905,0.688019156,0.698245347,0.701969147,0.267789125,,3,2,1,3,,2,3,3,3,0,0,0,,0,0,1,1,1,0,1,1,0,1,0,1,0,,3
0.514773965,0.177004844,0.545071185,,0.446808547,0.850534618,0.308797657,0.375708014,,,0.282166868,0.587166131,0.462272525,0.701077521,0.307484478,0.139786452,0.385681152,0.152527377,0.58840549,0.508659363,0.849148512,0.846338689,8445.458008,0.170082211,0.434446454,0.846987784,0.323028266,2414.550049,0.255983174,,0.454221338,0.228918135,0.406718433,,0.525045276,0.596618772,0.484926909,0.435464591,0.175274879,0.549674511,,0.616572499,0.406163275,0.134773001,0.808331549,0.228882164,0.571942091,0.482162267,0.625977039,0.690275371,0.287580729,0.178070948,0.706350446,,0.529733956,0.235561281,1354.669922,0.56475848,0.138740793,0.686425626,0.735028267,0.643265784,0.204324707,0.512755394,0.415910006,0.865496039,0.355528355,0.258500785,0.376799971,0.314772546,0.886536121,0.637783945,0.600354195,0.157514527,0.613332808,0.264157325,0.381693363,0.626315594,0.526917875,0.84616977,0.689396679,0.841509521,0.163684934,0.837789953,0.865437508,0.849698901,0.759688914,0.623954475,0.603847206,0.448265642,0.438938946,0.312183112,0.671255767,0.382727653,0.860408187,0.489969492,0.148399383,0.802203715,0.789081037,,3,4,1,0,3,3,2,0,3,2,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,7
0.549760818,0.28775382,0.612427175,0.19024843,0.621087551,0.315767318,0.490026563,0.322884291,0.779381514,0.815134346,0.474272281,0.166234836,0.657391846,,0.214723304,,0.442834854,0.349937648,0.657690167,0.497002631,0.450195253,0.16762051,2461.068848,0.647023976,0.708982527,0.454510689,,2596.224365,0.414944381,,0.604346275,0.821681857,0.899675012,5667.106445,0.678335428,0.642257452,0.496653229,0.876576722,0.406533778,0.468520701,0.683946967,0.826518714,0.517804801,0.666546524,0.666311502,0.724682748,0.430639863,0.404562026,0.631647527,,,0.532848001,0.15733701,,0.81479913,0.852377236,,0.604341626,0.330247432,0.252773821,0.606357276,0.201905683,0.640301585,,0.171227679,0.538589001,,0.297697991,0.620048523,0.260511994,0.472001523,0.845578134,0.491746396,0.391916186,0.423318297,0.47687155,0.684136331,0.246596351,0.716354012,0.477489859,0.34368518,0.538577199,0.39109391,0.611353874,0.568078816,,0.095621452,0.144231796,0.852087438,0.321096003,0.167082593,0.246020794,0.362789899,0.413934559,0.258874744,0.840349197,0.659537375,0.830908835,0.500245333,0.69073993,2,,2,2,0,4,,,0,2,0,1,1,1,1,0,1,1,1,1,0,,0,0,1,0,1,0,0
0.402766258,0.286615968,0.485299379,0.328007042,0.398336798,0.812667608,0.165020242,0.348756611,,0.701316297,0.370167255,,0.394944966,0.790044427,0.140814722,0.257771194,0.358491659,0.153216928,0.41054666,0.534237564,0.836519599,0.84567219,9367.116211,0.22776024,0.435409397,0.846230745,0.33740741,432.1994324,0.137641251,0.485178471,,,0.496388555,8372.099609,0.625249207,0.550415218,0.596475661,0.542681813,0.157719746,0.506577075,0.829978406,0.811038077,,0.276145041,0.795067847,0.145983636,0.642718792,0.353812724,0.55349195,0.725799024,0.243142605,0.223310754,0.866077065,0.461559981,0.658349037,0.176352382,1400.824951,0.587921798,0.130136326,0.499359667,0.681742489,0.621801198,0.201508701,0.503113568,0.370155394,0.944385469,0.381215572,0.305567354,0.341194421,0.355976939,0.903091967,0.769726872,0.633024096,,0.640008509,0.204221413,0.367664337,0.613216102,0.473061472,0.971305847,0.720632136,0.937395751,0.016417844,0.883316517,0.977846086,0.982798696,0.754665971,0.565986991,0.583075345,0.498622447,0.405983031,0.151393518,0.712888062,0.40463382,0.89557296,0.387965441,0.221381754,0.866211295,0.947624624,0.849368215,,1,1,0,4,4,3,0,3,2,1,1,0,1,1,1,,1,1,0,0,1,1,1,1,0,1,0,7
0.290335268,0.449683219,,0.493020773,0.772579014,0.736096442,,0.397514015,0.376525283,,0.424246222,0.202468708,0.347817779,0.863461852,0.261459768,0.537007809,0.398346484,0.876595378,0.120701641,0.77102077,0.592517793,0.379445553,7443.626465,0.796872497,0.098668151,,,6232.303223,0.004203202,0.231632769,0.421136796,0.110877506,0.158077925,9025.030273,0.909749091,0.70589447,0.599075377,0.31666261,0.433381677,,0.359252483,0.564746737,0.4430089,0.580472887,0.628909945,,0.732990026,0.182538167,0.868766487,0.513940454,0.412034184,0.856335163,0.811491132,0.362555683,0.451378137,0.047644481,6829.035645,0.561690032,0.745034575,0.711172521,0.472174168,0.248641223,0.365741044,0.584908664,,0.313174605,0.591435492,0.84309727,0.265844166,0.721409738,0.622390509,0.588896573,0.631962299,,0.604841411,0.168036029,0.394424081,0.173727438,0.413966119,0.944854736,0.873716593,0.793112099,0.302079797,0.510700107,0.225475401,0.251830727,0.726410091,0.305189252,0.338721991,0.251348227,0.947802007,0.720496297,,0.317720145,0.348445296,0.340770245,,,0.776878834,0.336190552,3,4,2,0,3,2,2,3,4,3,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,3
0.445221752,0.42610994,0.74593246,,-128.9538553,0.483825564,0.896412432,-123.8916391,,0.358721972,77.37411607,0.824012697,0.834360361,0.177442849,0.649379253,0.365448982,,0.489984989,0.575008571,0.379517764,-730.6299624,0.662981272,4341.20459,0.707171977,0.738770545,0.043741982,0.367811471,4538.45752,0.108669087,0.34074533,0.162711963,0.782962382,,3983.27002,0.335817784,0.521553934,0.878179431,0.607783079,0.470990002,0.287718713,0.542730391,0.892629921,0.062358521,0.486028284,0.522807896,0.698899269,0.219533831,0.171334177,-220.6191354,0.316306323,0.882796168,0.114343792,0.611513913,0.385570765,0.224744648,0.841319382,4445.391602,0.648390174,,0.737980545,0.926753938,0.929914415,0.707024455,0.860865593,0.08229126,0.171707451,0.712242186,0.470505476,0.917520344,0.176107809,0.620592237,0.508463025,0.155144677,0.576965451,0.124165885,0.684692264,0.555841982,595.820022,0.93741554,-1787.734453,0.679052234,,0.845278263,0.542422593,,0.336761564,0.866816103,0.624705017,0.392838985,0.867914855,0.786427557,0.282921731,,0.671667933,0.63532269,0.676976383,,0.550673723,0.586898744,,1,3,3,4,,1,0,1,4,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1
0.364839584,,0.617488384,0.468721271,0.418271065,0.589215577,0.834871233,0.864474714,0.725020111,0.283695936,0.701915145,0.819035769,0.711916447,0.152350292,0.571942925,0.426673204,0.595962584,0.462200433,,0.381122768,0.830893874,0.731579185,4928.77002,72.89964001,0.68575567,0.061999578,,4600.410156,0.20678632,0.308250427,238.5069475,0.725824952,0.575064361,5024.502441,0.459824085,0.507623732,0.803948402,,0.422547966,0.224102855,576.4997694,0.847133458,0.099664487,0.505858779,0.522861421,0.63496536,0.34019962,0.158958361,0.443182349,0.420398742,0.844037175,0.093130268,0.629176021,0.416076094,0.32602331,0.845639586,4357.538086,0.560180128,0.602030575,0.672440052,0.815417469,-3628.324885,0.727503598,0.898339152,0.09547855,0.259570539,,0.461464822,0.83950907,0.194075197,0.512058854,0.487975091,0.187886372,0.53225863,0.067677654,0.621634305,,0.889300823,0.850024283,0.392150789,0.641005516,0.615862787,0.686872959,0.495625138,0.367477238,0.402120203,0.85041064,0.564129114,0.275319636,0.867194772,0.736183345,0.286628693,0.84894222,0.662034214,394.7481961,0.601540864,0.826511621,0.544396579,0.528560221,,2,3,2,4,2,1,0,,4,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1
0.72602874,0.476511806,0.786786437,0.890927851,0.456326574,0.132254377,0.684940934,0.22554785,0.774297476,0.683756709,0.739367962,0.330563873,0.794078708,0.880274177,0.503503382,0.552020252,0.169341877,0.468604475,0.82446909,0.230899811,0.329579383,0.22907275,2452.48584,0.710458815,0.965734899,,0.150683612,4581.242676,0.260451823,0.604947031,0.171420798,0.764863372,0.799961984,1044.8396,,0.17953968,0.613975167,0.787184536,0.615790308,0.863675833,0.669189095,0.502985239,0.25213778,0.349193364,0.338311464,0.952221274,0.096571639,0.915700495,,0.096086152,0.344595164,0.536211908,0.555146337,,0.163120255,0.703839779,4287.541016,0.771481872,0.444005907,0.795778513,0.522676528,0.686203837,,0.061459228,0.591677904,0.54317379,,0.815190017,0.640936553,0.825290322,0.734135926,0.521659195,0.923098564,0.681272745,0.712705493,0.48873347,,0.701173782,,,0.657264948,0.364836454,0.832555294,0.41783902,0.266507447,0.157793775,0.429092467,0.911574006,0.780362725,0.366418481,0.481724888,0.456223339,0.760138929,0.300073117,,,,0.613098085,0.922605276,0.627463937,1,2,4,2,3,,2,1,3,4,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,8
0.5459342,0.198326945,0.61779362,0.202280402,,0.401555389,0.541967094,0.346335471,0.680112541,0.842213929,0.351795942,0.191613257,0.631681323,,0.278331578,0.287594885,0.417841524,0.384670466,0.678653717,0.518540025,0.50201565,0.201642841,3071.950684,0.578239202,0.62846899,0.504645944,0.863291562,3567.403076,0.428903967,0.482251257,0.592300355,0.798357308,0.768285811,5355.356934,0.688708723,0.745296061,0.453151673,0.77683413,0.345104396,0.412878811,,0.761993527,0.528388381,0.582473636,0.671760857,0.662526608,0.40954712,0.392134815,0.681395531,0.721105278,0.655209124,0.538026989,0.138397679,0.350649834,0.800582051,,2755.048828,0.561084211,0.327087283,0.377640039,0.678862631,0.181528956,0.600674808,0.287736714,0.233275473,0.483493775,0.221705958,0.27372092,0.610718429,0.231734291,0.493922889,0.83919996,0.445616901,,0.433278978,0.512718022,0.702376604,0.21438545,0.71310246,0.509848773,0.405064762,0.551280141,0.420743316,,0.533341467,0.487160653,0.150040001,0.141814321,0.828457832,0.272221416,0.25216493,0.356786728,0.370927036,0.420449883,0.211718887,0.896035254,0.58032465,0.833482623,0.472916007,0.574290454,2,2,,2,0,4,3,1,0,2,0,1,1,1,,0,1,1,,1,,1,0,0,1,0,1,0,0
